config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
C,3,twitter,cluster006,64,1024,senba_n1024,1000000,65536,25517213,828812,171188,105652
C,3,twitter-string,cluster006,32,32,senba_n32,1000000,1024,59630963,131146,868854,867830
C,3,twitter-string,cluster006,64,16,senba_n16,1000000,1024,63254878,131317,868683,867659
C,3,twitter-string,cluster006,32,128,senba_n128,1000000,4096,59189430,352134,647866,643770
C,3,twitter-string,cluster006,64,64,senba_n64,1000000,4096,62073011,353086,646914,642818
C,3,twitter-string,cluster006,32,512,senba_n512,1000000,16384,72521298,637576,362424,346040
C,3,twitter-string,cluster006,64,256,senba_n256,1000000,16384,69695302,641351,358649,342265
C,3,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,73149442,827429,172571,107035
C,3,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,71964364,828848,171152,105616
C,3,twitter,cluster018,32,32,senba_n32,1000000,1024,27197201,510136,489864,488840
C,3,twitter,cluster018,64,16,senba_n16,1000000,1024,31451663,508369,491631,490607
C,3,twitter,cluster018,32,128,senba_n128,1000000,4096,26834394,627333,372667,368571
C,3,twitter,cluster018,64,64,senba_n64,1000000,4096,30282650,627648,372352,368256
C,3,twitter,cluster018,32,512,senba_n512,1000000,16384,25602368,736524,263476,247092
C,3,twitter,cluster018,64,256,senba_n256,1000000,16384,29548707,737376,262624,246240
C,3,twitter,cluster018,32,2048,senba_n2048,1000000,65536,22718947,820448,179552,114016
C,3,twitter,cluster018,64,1024,senba_n1024,1000000,65536,25873179,820672,179328,113792
C,3,twitter-string,cluster018,32,32,senba_n32,1000000,1024,47967660,510655,489345,488321
C,3,twitter-string,cluster018,64,16,senba_n16,1000000,1024,51877436,508066,491934,490910
C,3,twitter-string,cluster018,32,128,senba_n128,1000000,4096,48920394,627104,372896,368800
C,3,twitter-string,cluster018,64,64,senba_n64,1000000,4096,49585495,627585,372415,368319
C,3,twitter-string,cluster018,32,512,senba_n512,1000000,16384,50861285,736081,263919,247535
C,3,twitter-string,cluster018,64,256,senba_n256,1000000,16384,53891202,737034,262966,246582
C,3,twitter-string,cluster018,32,2048,senba_n2048,1000000,65536,62400723,820648,179352,113816
C,3,twitter-string,cluster018,64,1024,senba_n1024,1000000,65536,60765380,820716,179284,113748
