config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
B,3,twitter,cluster006,64,1024,senba_n1024,1000000,65536,25370164,828812,171188,105652
B,3,twitter-string,cluster006,32,32,senba_n32,1000000,1024,59004416,131146,868854,867830
B,3,twitter-string,cluster006,64,16,senba_n16,1000000,1024,64551170,131317,868683,867659
B,3,twitter-string,cluster006,32,128,senba_n128,1000000,4096,60197374,352134,647866,643770
B,3,twitter-string,cluster006,64,64,senba_n64,1000000,4096,62724564,353086,646914,642818
B,3,twitter-string,cluster006,32,512,senba_n512,1000000,16384,63749064,637576,362424,346040
B,3,twitter-string,cluster006,64,256,senba_n256,1000000,16384,71143974,641351,358649,342265
B,3,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,73042502,827429,172571,107035
B,3,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,72194412,828848,171152,105616
B,3,twitter,cluster018,32,32,senba_n32,1000000,1024,27471208,510136,489864,488840
B,3,twitter,cluster018,64,16,senba_n16,1000000,1024,31802656,508369,491631,490607
B,3,twitter,cluster018,32,128,senba_n128,1000000,4096,27210196,627333,372667,368571
B,3,twitter,cluster018,64,64,senba_n64,1000000,4096,29300104,627648,372352,368256
B,3,twitter,cluster018,32,512,senba_n512,1000000,16384,24738410,736524,263476,247092
B,3,twitter,cluster018,64,256,senba_n256,1000000,16384,29210734,737376,262624,246240
B,3,twitter,cluster018,32,2048,senba_n2048,1000000,65536,23004628,820448,179552,114016
B,3,twitter,cluster018,64,1024,senba_n1024,1000000,65536,26243631,820672,179328,113792
B,3,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50435680,510655,489345,488321
B,3,twitter-string,cluster018,64,16,senba_n16,1000000,1024,51198216,508066,491934,490910
B,3,twitter-string,cluster018,32,128,senba_n128,1000000,4096,49265539,627104,372896,368800
B,3,twitter-string,cluster018,64,64,senba_n64,1000000,4096,52036714,627585,372415,368319
B,3,twitter-string,cluster018,32,512,senba_n512,1000000,16384,52496119,736081,263919,247535
B,3,twitter-string,cluster018,64,256,senba_n256,1000000,16384,66944946,737034,262966,246582
B,3,twitter-string,cluster018,32,2048,senba_n2048,1000000,65536,61768247,820648,179352,113816
B,3,twitter-string,cluster018,64,1024,senba_n1024,1000000,65536,61492649,820716,179284,113748
