config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
A,3,twitter,cluster006,64,1024,senba_n1024,1000000,65536,27772846,828812,171188,105652
A,3,twitter-string,cluster006,32,32,senba_n32,1000000,1024,61711189,131146,868854,867830
A,3,twitter-string,cluster006,64,16,senba_n16,1000000,1024,65973424,131317,868683,867659
A,3,twitter-string,cluster006,32,128,senba_n128,1000000,4096,65625045,352134,647866,643770
A,3,twitter-string,cluster006,64,64,senba_n64,1000000,4096,65300357,353086,646914,642818
A,3,twitter-string,cluster006,32,512,senba_n512,1000000,16384,69124419,637576,362424,346040
A,3,twitter-string,cluster006,64,256,senba_n256,1000000,16384,70031763,641351,358649,342265
A,3,twitter-string,cluster006,32,2048,senba_n2048,1000000,65536,84606266,827429,172571,107035
A,3,twitter-string,cluster006,64,1024,senba_n1024,1000000,65536,81892317,828848,171152,105616
A,3,twitter,cluster018,32,32,senba_n32,1000000,1024,26711680,510136,489864,488840
A,3,twitter,cluster018,64,16,senba_n16,1000000,1024,30696725,508369,491631,490607
A,3,twitter,cluster018,32,128,senba_n128,1000000,4096,27075731,627333,372667,368571
A,3,twitter,cluster018,64,64,senba_n64,1000000,4096,29701788,627648,372352,368256
A,3,twitter,cluster018,32,512,senba_n512,1000000,16384,26885498,736524,263476,247092
A,3,twitter,cluster018,64,256,senba_n256,1000000,16384,28490658,737376,262624,246240
A,3,twitter,cluster018,32,2048,senba_n2048,1000000,65536,23811143,820448,179552,114016
A,3,twitter,cluster018,64,1024,senba_n1024,1000000,65536,27192193,820672,179328,113792
A,3,twitter-string,cluster018,32,32,senba_n32,1000000,1024,47801001,510655,489345,488321
A,3,twitter-string,cluster018,64,16,senba_n16,1000000,1024,53990186,508066,491934,490910
A,3,twitter-string,cluster018,32,128,senba_n128,1000000,4096,48683178,627104,372896,368800
A,3,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50344244,627585,372415,368319
A,3,twitter-string,cluster018,32,512,senba_n512,1000000,16384,51613026,736081,263919,247535
A,3,twitter-string,cluster018,64,256,senba_n256,1000000,16384,53286535,737034,262966,246582
A,3,twitter-string,cluster018,32,2048,senba_n2048,1000000,65536,62086701,820648,179352,113816
A,3,twitter-string,cluster018,64,1024,senba_n1024,1000000,65536,62559255,820716,179284,113748
