config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
before,3,twitter-string,cluster016,64,256,senba_n256,1000000,16384,59915369,676218,323782,307398
before,1,twitter,cluster018,32,32,senba_n32,1000000,1024,28148884,510136,489864,488840
before,2,twitter,cluster018,32,32,senba_n32,1000000,1024,27806468,510136,489864,488840
before,3,twitter,cluster018,32,32,senba_n32,1000000,1024,27726085,510136,489864,488840
before,1,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50845745,510655,489345,488321
before,2,twitter-string,cluster018,32,32,senba_n32,1000000,1024,49734848,510655,489345,488321
before,3,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50231370,510655,489345,488321
before,1,twitter,cluster018,64,16,senba_n16,1000000,1024,30766482,508369,491631,490607
before,2,twitter,cluster018,64,16,senba_n16,1000000,1024,30624784,508369,491631,490607
before,3,twitter,cluster018,64,16,senba_n16,1000000,1024,31803480,508369,491631,490607
before,1,twitter-string,cluster018,64,16,senba_n16,1000000,1024,54014891,508066,491934,490910
before,2,twitter-string,cluster018,64,16,senba_n16,1000000,1024,51214198,508066,491934,490910
before,3,twitter-string,cluster018,64,16,senba_n16,1000000,1024,52563901,508066,491934,490910
before,1,twitter,cluster018,32,128,senba_n128,1000000,4096,28623056,627333,372667,368571
before,2,twitter,cluster018,32,128,senba_n128,1000000,4096,27073473,627333,372667,368571
before,3,twitter,cluster018,32,128,senba_n128,1000000,4096,29153395,627333,372667,368571
before,1,twitter-string,cluster018,32,128,senba_n128,1000000,4096,49062745,627104,372896,368800
before,2,twitter-string,cluster018,32,128,senba_n128,1000000,4096,48015553,627104,372896,368800
before,3,twitter-string,cluster018,32,128,senba_n128,1000000,4096,49709040,627104,372896,368800
before,1,twitter,cluster018,64,64,senba_n64,1000000,4096,28359756,627648,372352,368256
before,2,twitter,cluster018,64,64,senba_n64,1000000,4096,28308410,627648,372352,368256
before,3,twitter,cluster018,64,64,senba_n64,1000000,4096,27706967,627648,372352,368256
before,1,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50585804,627585,372415,368319
before,2,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50388645,627585,372415,368319
before,3,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50624849,627585,372415,368319
before,1,twitter,cluster018,32,512,senba_n512,1000000,16384,26360643,736524,263476,247092
before,2,twitter,cluster018,32,512,senba_n512,1000000,16384,26153092,736524,263476,247092
before,3,twitter,cluster018,32,512,senba_n512,1000000,16384,25652053,736524,263476,247092
before,1,twitter-string,cluster018,32,512,senba_n512,1000000,16384,52908458,736081,263919,247535
before,2,twitter-string,cluster018,32,512,senba_n512,1000000,16384,54803704,736081,263919,247535
before,3,twitter-string,cluster018,32,512,senba_n512,1000000,16384,57754698,736081,263919,247535
before,1,twitter,cluster018,64,256,senba_n256,1000000,16384,28234322,737376,262624,246240
before,2,twitter,cluster018,64,256,senba_n256,1000000,16384,28588921,737376,262624,246240
before,3,twitter,cluster018,64,256,senba_n256,1000000,16384,29667869,737376,262624,246240
before,1,twitter-string,cluster018,64,256,senba_n256,1000000,16384,55731750,737034,262966,246582
before,2,twitter-string,cluster018,64,256,senba_n256,1000000,16384,54906780,737034,262966,246582
before,3,twitter-string,cluster018,64,256,senba_n256,1000000,16384,55490338,737034,262966,246582
before,1,twitter,cluster019,32,32,senba_n32,1000000,1024,26906106,304116,695884,694860
before,2,twitter,cluster019,32,32,senba_n32,1000000,1024,26976838,304116,695884,694860
before,3,twitter,cluster019,32,32,senba_n32,1000000,1024,26772877,304116,695884,694860
before,1,twitter-string,cluster019,32,32,senba_n32,1000000,1024,55670074,304042,695958,694934
before,2,twitter-string,cluster019,32,32,senba_n32,1000000,1024,58583168,304042,695958,694934
before,3,twitter-string,cluster019,32,32,senba_n32,1000000,1024,55755963,304042,695958,694934
before,1,twitter,cluster019,64,16,senba_n16,1000000,1024,29012814,300278,699722,698698
before,2,twitter,cluster019,64,16,senba_n16,1000000,1024,29282071,300278,699722,698698
before,3,twitter,cluster019,64,16,senba_n16,1000000,1024,28977196,300278,699722,698698
before,1,twitter-string,cluster019,64,16,senba_n16,1000000,1024,58708932,300384,699616,698592
before,2,twitter-string,cluster019,64,16,senba_n16,1000000,1024,58943916,300384,699616,698592
before,3,twitter-string,cluster019,64,16,senba_n16,1000000,1024,58482150,300384,699616,698592
before,1,twitter,cluster019,32,128,senba_n128,1000000,4096,26904311,316413,683587,679491
before,2,twitter,cluster019,32,128,senba_n128,1000000,4096,27012067,316413,683587,679491
before,3,twitter,cluster019,32,128,senba_n128,1000000,4096,26635189,316413,683587,679491
before,1,twitter-string,cluster019,32,128,senba_n128,1000000,4096,59226442,316445,683555,679459
before,2,twitter-string,cluster019,32,128,senba_n128,1000000,4096,59372295,316445,683555,679459
before,3,twitter-string,cluster019,32,128,senba_n128,1000000,4096,58903930,316445,683555,679459
before,1,twitter,cluster019,64,64,senba_n64,1000000,4096,29916322,316021,683979,679883
before,2,twitter,cluster019,64,64,senba_n64,1000000,4096,29053454,316021,683979,679883
before,3,twitter,cluster019,64,64,senba_n64,1000000,4096,29726890,316021,683979,679883
before,1,twitter-string,cluster019,64,64,senba_n64,1000000,4096,60100581,316016,683984,679888
before,2,twitter-string,cluster019,64,64,senba_n64,1000000,4096,60535470,316016,683984,679888
before,3,twitter-string,cluster019,64,64,senba_n64,1000000,4096,58639735,316016,683984,679888
before,1,twitter,cluster019,32,512,senba_n512,1000000,16384,27616291,321732,678268,661884
before,2,twitter,cluster019,32,512,senba_n512,1000000,16384,29031058,321732,678268,661884
before,3,twitter,cluster019,32,512,senba_n512,1000000,16384,27366807,321732,678268,661884
before,1,twitter-string,cluster019,32,512,senba_n512,1000000,16384,68413730,321669,678331,661947
before,2,twitter-string,cluster019,32,512,senba_n512,1000000,16384,69639690,321669,678331,661947
before,3,twitter-string,cluster019,32,512,senba_n512,1000000,16384,67648259,321669,678331,661947
before,1,twitter,cluster019,64,256,senba_n256,1000000,16384,29117671,321684,678316,661932
before,2,twitter,cluster019,64,256,senba_n256,1000000,16384,29115395,321684,678316,661932
before,3,twitter,cluster019,64,256,senba_n256,1000000,16384,30969714,321684,678316,661932
before,1,twitter-string,cluster019,64,256,senba_n256,1000000,16384,68190369,321654,678346,661962
before,2,twitter-string,cluster019,64,256,senba_n256,1000000,16384,70353950,321654,678346,661962
before,3,twitter-string,cluster019,64,256,senba_n256,1000000,16384,69673015,321654,678346,661962
before,1,twitter,cluster034,32,32,senba_n32,1000000,1024,29252716,305111,694889,693865
before,2,twitter,cluster034,32,32,senba_n32,1000000,1024,28228690,305111,694889,693865
before,3,twitter,cluster034,32,32,senba_n32,1000000,1024,29247296,305111,694889,693865
before,1,twitter-string,cluster034,32,32,senba_n32,1000000,1024,59683041,304654,695346,694322
before,2,twitter-string,cluster034,32,32,senba_n32,1000000,1024,60468922,304654,695346,694322
before,3,twitter-string,cluster034,32,32,senba_n32,1000000,1024,59761059,304654,695346,694322
before,1,twitter,cluster034,64,16,senba_n16,1000000,1024,30717769,305990,694010,692986
before,2,twitter,cluster034,64,16,senba_n16,1000000,1024,31113664,305990,694010,692986
before,3,twitter,cluster034,64,16,senba_n16,1000000,1024,30138042,305990,694010,692986
before,1,twitter-string,cluster034,64,16,senba_n16,1000000,1024,60507146,305692,694308,693284
before,2,twitter-string,cluster034,64,16,senba_n16,1000000,1024,61669842,305692,694308,693284
before,3,twitter-string,cluster034,64,16,senba_n16,1000000,1024,65156992,305692,694308,693284
before,1,twitter,cluster034,32,128,senba_n128,1000000,4096,29327174,354965,645035,640939
before,2,twitter,cluster034,32,128,senba_n128,1000000,4096,28623138,354965,645035,640939
before,3,twitter,cluster034,32,128,senba_n128,1000000,4096,28454179,354965,645035,640939
before,1,twitter-string,cluster034,32,128,senba_n128,1000000,4096,60509976,354941,645059,640963
before,2,twitter-string,cluster034,32,128,senba_n128,1000000,4096,62313649,354941,645059,640963
before,3,twitter-string,cluster034,32,128,senba_n128,1000000,4096,61760960,354941,645059,640963
before,1,twitter,cluster034,64,64,senba_n64,1000000,4096,30471542,355495,644505,640409
before,2,twitter,cluster034,64,64,senba_n64,1000000,4096,31310187,355495,644505,640409
before,3,twitter,cluster034,64,64,senba_n64,1000000,4096,29203735,355495,644505,640409
before,1,twitter-string,cluster034,64,64,senba_n64,1000000,4096,62678071,355391,644609,640513
before,2,twitter-string,cluster034,64,64,senba_n64,1000000,4096,65546364,355391,644609,640513
before,3,twitter-string,cluster034,64,64,senba_n64,1000000,4096,66271037,355391,644609,640513
before,1,twitter,cluster034,32,512,senba_n512,1000000,16384,30497123,390590,609410,593026
before,2,twitter,cluster034,32,512,senba_n512,1000000,16384,31344045,390590,609410,593026
before,3,twitter,cluster034,32,512,senba_n512,1000000,16384,29174523,390590,609410,593026
before,1,twitter-string,cluster034,32,512,senba_n512,1000000,16384,71870583,390392,609608,593224
before,2,twitter-string,cluster034,32,512,senba_n512,1000000,16384,66235098,390392,609608,593224
before,3,twitter-string,cluster034,32,512,senba_n512,1000000,16384,69340275,390392,609608,593224
before,1,twitter,cluster034,64,256,senba_n256,1000000,16384,31483479,390423,609577,593193
before,2,twitter,cluster034,64,256,senba_n256,1000000,16384,30328428,390423,609577,593193
before,3,twitter,cluster034,64,256,senba_n256,1000000,16384,29825696,390423,609577,593193
before,1,twitter-string,cluster034,64,256,senba_n256,1000000,16384,73307154,390427,609573,593189
before,2,twitter-string,cluster034,64,256,senba_n256,1000000,16384,74066969,390427,609573,593189
before,3,twitter-string,cluster034,64,256,senba_n256,1000000,16384,71713841,390427,609573,593189
