config,trial,source,cluster,per_shard,shards,variant,len,capacity,elapsed_ns,hits,misses,evictions
after,3,twitter-string,cluster016,64,256,senba_n256,1000000,16384,56983878,676218,323782,307398
after,1,twitter,cluster018,32,32,senba_n32,1000000,1024,28002396,510136,489864,488840
after,2,twitter,cluster018,32,32,senba_n32,1000000,1024,27718163,510136,489864,488840
after,3,twitter,cluster018,32,32,senba_n32,1000000,1024,28183975,510136,489864,488840
after,1,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50786753,510655,489345,488321
after,2,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50786455,510655,489345,488321
after,3,twitter-string,cluster018,32,32,senba_n32,1000000,1024,50551186,510655,489345,488321
after,1,twitter,cluster018,64,16,senba_n16,1000000,1024,30412623,508369,491631,490607
after,2,twitter,cluster018,64,16,senba_n16,1000000,1024,30371303,508369,491631,490607
after,3,twitter,cluster018,64,16,senba_n16,1000000,1024,30246170,508369,491631,490607
after,1,twitter-string,cluster018,64,16,senba_n16,1000000,1024,52315597,508066,491934,490910
after,2,twitter-string,cluster018,64,16,senba_n16,1000000,1024,54879919,508066,491934,490910
after,3,twitter-string,cluster018,64,16,senba_n16,1000000,1024,58072269,508066,491934,490910
after,1,twitter,cluster018,32,128,senba_n128,1000000,4096,26579370,627333,372667,368571
after,2,twitter,cluster018,32,128,senba_n128,1000000,4096,26634308,627333,372667,368571
after,3,twitter,cluster018,32,128,senba_n128,1000000,4096,26787262,627333,372667,368571
after,1,twitter-string,cluster018,32,128,senba_n128,1000000,4096,50192978,627104,372896,368800
after,2,twitter-string,cluster018,32,128,senba_n128,1000000,4096,49829955,627104,372896,368800
after,3,twitter-string,cluster018,32,128,senba_n128,1000000,4096,49597893,627104,372896,368800
after,1,twitter,cluster018,64,64,senba_n64,1000000,4096,28306126,627648,372352,368256
after,2,twitter,cluster018,64,64,senba_n64,1000000,4096,30915985,627648,372352,368256
after,3,twitter,cluster018,64,64,senba_n64,1000000,4096,28399236,627648,372352,368256
after,1,twitter-string,cluster018,64,64,senba_n64,1000000,4096,49934781,627585,372415,368319
after,2,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50198979,627585,372415,368319
after,3,twitter-string,cluster018,64,64,senba_n64,1000000,4096,50535088,627585,372415,368319
after,1,twitter,cluster018,32,512,senba_n512,1000000,16384,26631165,736524,263476,247092
after,2,twitter,cluster018,32,512,senba_n512,1000000,16384,26428441,736524,263476,247092
after,3,twitter,cluster018,32,512,senba_n512,1000000,16384,27486401,736524,263476,247092
after,1,twitter-string,cluster018,32,512,senba_n512,1000000,16384,52653772,736081,263919,247535
after,2,twitter-string,cluster018,32,512,senba_n512,1000000,16384,57559675,736081,263919,247535
after,3,twitter-string,cluster018,32,512,senba_n512,1000000,16384,53226130,736081,263919,247535
after,1,twitter,cluster018,64,256,senba_n256,1000000,16384,28793364,737376,262624,246240
after,2,twitter,cluster018,64,256,senba_n256,1000000,16384,27736709,737376,262624,246240
after,3,twitter,cluster018,64,256,senba_n256,1000000,16384,29375546,737376,262624,246240
after,1,twitter-string,cluster018,64,256,senba_n256,1000000,16384,55628684,737034,262966,246582
after,2,twitter-string,cluster018,64,256,senba_n256,1000000,16384,54687897,737034,262966,246582
after,3,twitter-string,cluster018,64,256,senba_n256,1000000,16384,57987880,737034,262966,246582
after,1,twitter,cluster019,32,32,senba_n32,1000000,1024,26892842,304116,695884,694860
