trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster018,1000000,1024,1024,1,37983207,501676,498324,497300
1,j5_n32,cluster018,1000000,1024,32,32,32493570,510136,489864,488840
1,j6_n32,cluster018,1000000,1024,32,32,34958895,510136,489864,488840
1,j7_n32,cluster018,1000000,1024,32,32,28621979,510136,489864,488840
1,j5_n16,cluster018,1000000,1024,64,16,38099398,508369,491631,490607
1,j6_n16,cluster018,1000000,1024,64,16,42494131,508369,491631,490607
1,j7_n16,cluster018,1000000,1024,64,16,31237933,508369,491631,490607
1,j5_n8,cluster018,1000000,1024,128,8,43658966,506574,493426,492402
1,j6_n8,cluster018,1000000,1024,128,8,54094775,506574,493426,492402
1,j7_n8,cluster018,1000000,1024,128,8,35000510,506574,493426,492402
1,orig,cluster018,1000000,4096,4096,1,31487263,625267,374733,370637
1,j5_n128,cluster018,1000000,4096,32,128,30936041,627333,372667,368571
1,j6_n128,cluster018,1000000,4096,32,128,35117855,627333,372667,368571
1,j7_n128,cluster018,1000000,4096,32,128,28503668,627333,372667,368571
1,j5_n64,cluster018,1000000,4096,64,64,34261911,627648,372352,368256
1,j6_n64,cluster018,1000000,4096,64,64,40666262,627648,372352,368256
1,j7_n64,cluster018,1000000,4096,64,64,30101628,627648,372352,368256
1,j5_n32,cluster018,1000000,4096,128,32,41442737,627574,372426,368330
1,j6_n32,cluster018,1000000,4096,128,32,50760606,627574,372426,368330
1,j7_n32,cluster018,1000000,4096,128,32,34566056,627574,372426,368330
1,orig,cluster018,1000000,16384,16384,1,30070325,737810,262190,245806
1,j5_n512,cluster018,1000000,16384,32,512,28074122,736524,263476,247092
1,j6_n512,cluster018,1000000,16384,32,512,30820999,736524,263476,247092
1,j7_n512,cluster018,1000000,16384,32,512,29323500,736524,263476,247092
1,j5_n256,cluster018,1000000,16384,64,256,31437300,737376,262624,246240
1,j6_n256,cluster018,1000000,16384,64,256,36456941,737376,262624,246240
1,j7_n256,cluster018,1000000,16384,64,256,30209511,737376,262624,246240
1,j5_n128,cluster018,1000000,16384,128,128,39205659,738025,261975,245591
1,j6_n128,cluster018,1000000,16384,128,128,45836108,738025,261975,245591
1,j7_n128,cluster018,1000000,16384,128,128,34167668,738025,261975,245591
2,orig,cluster018,1000000,1024,1024,1,38171446,501676,498324,497300
2,j5_n32,cluster018,1000000,1024,32,32,32609101,510136,489864,488840
2,j6_n32,cluster018,1000000,1024,32,32,36665636,510136,489864,488840
2,j7_n32,cluster018,1000000,1024,32,32,30566606,510136,489864,488840
2,j5_n16,cluster018,1000000,1024,64,16,36029387,508369,491631,490607
2,j6_n16,cluster018,1000000,1024,64,16,42207009,508369,491631,490607
2,j7_n16,cluster018,1000000,1024,64,16,31807658,508369,491631,490607
2,j5_n8,cluster018,1000000,1024,128,8,44259355,506574,493426,492402
2,j6_n8,cluster018,1000000,1024,128,8,56953376,506574,493426,492402
2,j7_n8,cluster018,1000000,1024,128,8,34643513,506574,493426,492402
2,orig,cluster018,1000000,4096,4096,1,30309821,625267,374733,370637
2,j5_n128,cluster018,1000000,4096,32,128,33002551,627333,372667,368571
2,j6_n128,cluster018,1000000,4096,32,128,35294013,627333,372667,368571
2,j7_n128,cluster018,1000000,4096,32,128,29837418,627333,372667,368571
2,j5_n64,cluster018,1000000,4096,64,64,34416615,627648,372352,368256
2,j6_n64,cluster018,1000000,4096,64,64,39371344,627648,372352,368256
2,j7_n64,cluster018,1000000,4096,64,64,30842234,627648,372352,368256
2,j5_n32,cluster018,1000000,4096,128,32,39526025,627574,372426,368330
2,j6_n32,cluster018,1000000,4096,128,32,49835155,627574,372426,368330
2,j7_n32,cluster018,1000000,4096,128,32,34048745,627574,372426,368330
2,orig,cluster018,1000000,16384,16384,1,27886790,737810,262190,245806
2,j5_n512,cluster018,1000000,16384,32,512,28151687,736524,263476,247092
2,j6_n512,cluster018,1000000,16384,32,512,30521129,736524,263476,247092
2,j7_n512,cluster018,1000000,16384,32,512,30466774,736524,263476,247092
2,j5_n256,cluster018,1000000,16384,64,256,32402757,737376,262624,246240
2,j6_n256,cluster018,1000000,16384,64,256,35389092,737376,262624,246240
2,j7_n256,cluster018,1000000,16384,64,256,31902707,737376,262624,246240
