trial,variant,source,skew,keys,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
2,orig,zipf,1,100000,1000000,4096,4096,1,26446901,705635,294365,290269
2,j5_n128,zipf,1,100000,1000000,4096,32,128,20989705,706937,293063,288967
2,j5_n64,zipf,1,100000,1000000,4096,64,64,24036435,708367,291633,287537
2,j5_n32,zipf,1,100000,1000000,4096,128,32,29083053,707475,292525,288429
2,j5_n16,zipf,1,100000,1000000,4096,256,16,41820589,707067,292933,288837
2,orig,zipf,1,100000,1000000,16384,16384,1,21270860,814191,185809,169425
2,j5_n512,zipf,1,100000,1000000,16384,32,512,19834747,813264,186736,170352
2,j5_n256,zipf,1,100000,1000000,16384,64,256,21976254,813665,186335,169951
2,j5_n128,zipf,1,100000,1000000,16384,128,128,35386822,813980,186020,169636
2,j5_n64,zipf,1,100000,1000000,16384,256,64,34483310,814065,185935,169551
2,orig,zipf,1.2,100000,1000000,1024,1024,1,18203232,841056,158944,157920
2,j5_n32,zipf,1.2,100000,1000000,1024,32,32,15913226,838820,161180,160156
2,j5_n16,zipf,1.2,100000,1000000,1024,64,16,17318490,841174,158826,157802
2,j5_n8,zipf,1.2,100000,1000000,1024,128,8,20314837,842483,157517,156493
2,j5_n4,zipf,1.2,100000,1000000,1024,256,4,27354176,841884,158116,157092
2,orig,zipf,1.2,100000,1000000,4096,4096,1,17410726,897791,102209,98113
2,j5_n128,zipf,1.2,100000,1000000,4096,32,128,15313812,897179,102821,98725
2,j5_n64,zipf,1.2,100000,1000000,4096,64,64,15164959,897380,102620,98524
2,j5_n32,zipf,1.2,100000,1000000,4096,128,32,17901782,897545,102455,98359
2,j5_n16,zipf,1.2,100000,1000000,4096,256,16,23963439,897547,102453,98357
2,orig,zipf,1.2,100000,1000000,16384,16384,1,15276168,937388,62612,46228
2,j5_n512,zipf,1.2,100000,1000000,16384,32,512,13628851,936865,63135,46751
2,j5_n256,zipf,1.2,100000,1000000,16384,64,256,15564904,937166,62834,46450
2,j5_n128,zipf,1.2,100000,1000000,16384,128,128,15604980,937310,62690,46306
2,j5_n64,zipf,1.2,100000,1000000,16384,256,64,19743000,937317,62683,46299
3,orig,zipf,0.9,100000,1000000,1024,1024,1,33539182,450302,549698,548674
3,j5_n32,zipf,0.9,100000,1000000,1024,32,32,28342289,449015,550985,549961
3,j5_n16,zipf,0.9,100000,1000000,1024,64,16,33063592,450560,549440,548416
3,j5_n8,zipf,0.9,100000,1000000,1024,128,8,39795458,452267,547733,546709
3,j5_n4,zipf,0.9,100000,1000000,1024,256,4,57243027,451887,548113,547089
3,orig,zipf,0.9,100000,1000000,4096,4096,1,31010013,570385,429615,425519
3,j5_n128,zipf,0.9,100000,1000000,4096,32,128,26576674,573862,426138,422042
3,j5_n64,zipf,0.9,100000,1000000,4096,64,64,30173876,574667,425333,421237
3,j5_n32,zipf,0.9,100000,1000000,4096,128,32,35273910,574376,425624,421528
3,j5_n16,zipf,0.9,100000,1000000,4096,256,16,51064395,573727,426273,422177
3,orig,zipf,0.9,100000,1000000,16384,16384,1,27397238,716034,283966,267582
3,j5_n512,zipf,0.9,100000,1000000,16384,32,512,24169236,716178,283822,267438
3,j5_n256,zipf,0.9,100000,1000000,16384,64,256,27529777,716374,283626,267242
3,j5_n128,zipf,0.9,100000,1000000,16384,128,128,32084617,716088,283912,267528
3,j5_n64,zipf,0.9,100000,1000000,16384,256,64,46213099,716106,283894,267510
3,orig,zipf,1,100000,1000000,1024,1024,1,28626387,598348,401652,400628
3,j5_n32,zipf,1,100000,1000000,1024,32,32,23527160,596016,403984,402960
3,j5_n16,zipf,1,100000,1000000,1024,64,16,28392463,599404,400596,399572
3,j5_n8,zipf,1,100000,1000000,1024,128,8,33580933,601160,398840,397816
3,j5_n4,zipf,1,100000,1000000,1024,256,4,46980882,601663,398337,397313
3,orig,zipf,1,100000,1000000,4096,4096,1,24866546,705635,294365,290269
3,j5_n128,zipf,1,100000,1000000,4096,32,128,21128250,706937,293063,288967
3,j5_n64,zipf,1,100000,1000000,4096,64,64,24389563,708367,291633,287537
3,j5_n32,zipf,1,100000,1000000,4096,128,32,28040082,707475,292525,288429
3,j5_n16,zipf,1,100000,1000000,4096,256,16,41190469,707067,292933,288837
3,orig,zipf,1,100000,1000000,16384,16384,1,20864231,814191,185809,169425
3,j5_n512,zipf,1,100000,1000000,16384,32,512,19481921,813264,186736,170352
3,j5_n256,zipf,1,100000,1000000,16384,64,256,23363291,813665,186335,169951
3,j5_n128,zipf,1,100000,1000000,16384,128,128,25958460,813980,186020,169636
3,j5_n64,zipf,1,100000,1000000,16384,256,64,33349581,814065,185935,169551
3,orig,zipf,1.2,100000,1000000,1024,1024,1,19197018,841056,158944,157920
3,j5_n32,zipf,1.2,100000,1000000,1024,32,32,16385132,838820,161180,160156
3,j5_n16,zipf,1.2,100000,1000000,1024,64,16,17270036,841174,158826,157802
3,j5_n8,zipf,1.2,100000,1000000,1024,128,8,20962419,842483,157517,156493
3,j5_n4,zipf,1.2,100000,1000000,1024,256,4,28165182,841884,158116,157092
3,orig,zipf,1.2,100000,1000000,4096,4096,1,18896375,897791,102209,98113
