trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
2,j8_n512,cluster019,1000000,16384,32,512,35004144,321732,678268,661884
2,j8_n256,cluster019,1000000,16384,64,256,39513038,321684,678316,661932
2,orig,cluster019,1000000,65536,65536,1,56654597,327455,672545,607009
2,j8_n2048,cluster019,1000000,65536,32,2048,36624418,328763,671237,605701
2,j8_n1024,cluster019,1000000,65536,64,1024,41631013,328769,671231,605695
3,orig,cluster006,1000000,1024,1024,1,47621458,132154,867846,866822
3,j8_n64,cluster006,1000000,1024,16,64,29422794,130323,869677,868653
3,j8_n32,cluster006,1000000,1024,32,32,30940628,131317,868683,867659
3,j8_n16,cluster006,1000000,1024,64,16,33147474,131811,868189,867165
3,orig,cluster006,1000000,4096,4096,1,41231408,348606,651394,647298
3,j8_n256,cluster006,1000000,4096,16,256,31652026,347915,652085,647989
3,j8_n128,cluster006,1000000,4096,32,128,33941142,351809,648191,644095
3,j8_n64,cluster006,1000000,4096,64,64,34484784,352933,647067,642971
3,orig,cluster006,1000000,16384,16384,1,36644868,640281,359719,343335
3,j8_n1024,cluster006,1000000,16384,16,1024,29394637,630282,369718,353334
3,j8_n512,cluster006,1000000,16384,32,512,31998529,638399,361601,345217
3,j8_n256,cluster006,1000000,16384,64,256,35582278,641770,358230,341846
3,orig,cluster006,1000000,65536,65536,1,25489030,829343,170657,105121
3,j8_n2048,cluster006,1000000,65536,32,2048,25223709,827400,172600,107064
3,j8_n1024,cluster006,1000000,65536,64,1024,30239132,828812,171188,105652
3,orig,cluster018,1000000,1024,1024,1,35900196,501676,498324,497300
3,j8_n64,cluster018,1000000,1024,16,64,30018228,511234,488766,487742
3,j8_n32,cluster018,1000000,1024,32,32,31901684,510136,489864,488840
3,j8_n16,cluster018,1000000,1024,64,16,36057513,508369,491631,490607
3,orig,cluster018,1000000,4096,4096,1,30889413,625267,374733,370637
3,j8_n256,cluster018,1000000,4096,16,256,29384872,625673,374327,370231
3,j8_n128,cluster018,1000000,4096,32,128,31640176,627333,372667,368571
3,j8_n64,cluster018,1000000,4096,64,64,34516061,627648,372352,368256
3,orig,cluster018,1000000,16384,16384,1,28436224,737810,262190,245806
3,j8_n1024,cluster018,1000000,16384,16,1024,28082773,733969,266031,249647
3,j8_n512,cluster018,1000000,16384,32,512,29471455,736524,263476,247092
3,j8_n256,cluster018,1000000,16384,64,256,32358424,737376,262624,246240
3,orig,cluster018,1000000,65536,65536,1,28608349,820608,179392,113856
3,j8_n2048,cluster018,1000000,65536,32,2048,27160297,820448,179552,114016
3,j8_n1024,cluster018,1000000,65536,64,1024,30317574,820672,179328,113792
3,orig,cluster019,1000000,1024,1024,1,51709137,240886,759114,758090
3,j8_n64,cluster019,1000000,1024,16,64,32634008,305930,694070,693046
3,j8_n32,cluster019,1000000,1024,32,32,34074640,304116,695884,694860
3,j8_n16,cluster019,1000000,1024,64,16,39663457,300278,699722,698698
3,orig,cluster019,1000000,4096,4096,1,45148180,296407,703593,699497
