trial,variant,cluster,len,capacity,elapsed_ns,hits,misses,evictions
3,c15s_16_n64,cluster016,1000000,4096,203659542,449871,550129,546033
3,c15s_8_n64,cluster016,1000000,1024,86304282,343376,656624,655600
3,c15s_8_n64,cluster016,1000000,2048,127737721,394832,605168,603120
3,c15s_8_n64,cluster016,1000000,4096,199605021,461290,538710,534614
3,c15s_4_n64,cluster016,1000000,1024,81821728,352111,647889,646865
3,c15s_4_n64,cluster016,1000000,2048,130222342,405932,594068,592020
3,c15s_4_n64,cluster016,1000000,4096,198681906,473264,526736,522640
4,c14s_n64,cluster016,1000000,1024,87004767,371857,628143,627119
4,c14s_n64,cluster016,1000000,2048,133455017,427930,572070,570022
4,c14s_n64,cluster016,1000000,4096,209976053,496901,503099,499003
4,c15s_16_n64,cluster016,1000000,1024,82441306,336912,663088,662064
4,c15s_16_n64,cluster016,1000000,2048,130438515,385910,614090,612042
4,c15s_16_n64,cluster016,1000000,4096,202457077,449714,550286,546190
4,c15s_8_n64,cluster016,1000000,1024,82744449,343687,656313,655289
4,c15s_8_n64,cluster016,1000000,2048,129245192,394370,605630,603582
4,c15s_8_n64,cluster016,1000000,4096,201059457,460622,539378,535282
4,c15s_4_n64,cluster016,1000000,1024,87820942,352111,647889,646865
4,c15s_4_n64,cluster016,1000000,2048,130224297,405629,594371,592323
4,c15s_4_n64,cluster016,1000000,4096,197647558,473458,526542,522446
5,c14s_n64,cluster016,1000000,1024,88176962,371857,628143,627119
5,c14s_n64,cluster016,1000000,2048,138731673,427930,572070,570022
5,c14s_n64,cluster016,1000000,4096,205923374,496901,503099,499003
5,c15s_16_n64,cluster016,1000000,1024,84117205,336912,663088,662064
5,c15s_16_n64,cluster016,1000000,2048,132367230,385910,614090,612042
5,c15s_16_n64,cluster016,1000000,4096,203029116,449714,550286,546190
5,c15s_8_n64,cluster016,1000000,1024,81261507,343687,656313,655289
5,c15s_8_n64,cluster016,1000000,2048,126232950,394370,605630,603582
5,c15s_8_n64,cluster016,1000000,4096,202234145,460622,539378,535282
5,c15s_4_n64,cluster016,1000000,1024,83408501,352111,647889,646865
5,c15s_4_n64,cluster016,1000000,2048,129108791,405629,594371,592323
5,c15s_4_n64,cluster016,1000000,4096,199730552,473458,526542,522446
1,c14s_n64,cluster018,1000000,1024,66768127,511234,488766,487742
1,c14s_n64,cluster018,1000000,2048,102428065,572750,427250,425202
1,c14s_n64,cluster018,1000000,4096,154845527,627648,372352,368256
1,c15s_16_n64,cluster018,1000000,1024,63718015,482904,517096,516072
1,c15s_16_n64,cluster018,1000000,2048,98764708,546901,453099,451051
1,c15s_16_n64,cluster018,1000000,4096,153222414,604218,395782,391686
