trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
1,orig,cluster006,1000000,1024,1024,1,49939480,132154,867846,866822
1,j7_n32,cluster006,1000000,1024,32,32,29435209,131317,868683,867659
1,j7_n16,cluster006,1000000,1024,64,16,35682022,131811,868189,867165
1,j7_n8,cluster006,1000000,1024,128,8,34449620,131668,868332,867308
1,j7_n4,cluster006,1000000,1024,256,4,47927491,131497,868503,867479
1,orig,cluster006,1000000,4096,4096,1,44527565,348606,651394,647298
1,j7_n128,cluster006,1000000,4096,32,128,30545743,351809,648191,644095
1,j7_n64,cluster006,1000000,4096,64,64,32695148,352933,647067,642971
1,j7_n32,cluster006,1000000,4096,128,32,35676352,351574,648426,644330
1,j7_n16,cluster006,1000000,4096,256,16,44083179,351466,648534,644438
1,orig,cluster006,1000000,16384,16384,1,36516085,640281,359719,343335
1,j7_n512,cluster006,1000000,16384,32,512,30135142,638399,361601,345217
1,j7_n256,cluster006,1000000,16384,64,256,32774273,641770,358230,341846
1,j7_n128,cluster006,1000000,16384,128,128,35713804,642951,357049,340665
1,j7_n64,cluster006,1000000,16384,256,64,38152064,643090,356910,340526
1,orig,cluster006,1000000,65536,65536,1,31928960,829343,170657,105121
1,j7_n2048,cluster006,1000000,65536,32,2048,26947890,827400,172600,107064
1,j7_n1024,cluster006,1000000,65536,64,1024,30434384,828812,171188,105652
1,j7_n512,cluster006,1000000,65536,128,512,35864969,829349,170651,105115
1,j7_n256,cluster006,1000000,65536,256,256,40049111,829628,170372,104836
1,orig,cluster018,1000000,1024,1024,1,38797824,501676,498324,497300
1,j7_n32,cluster018,1000000,1024,32,32,30469073,510136,489864,488840
1,j7_n16,cluster018,1000000,1024,64,16,30526551,508369,491631,490607
1,j7_n8,cluster018,1000000,1024,128,8,35076045,506574,493426,492402
1,j7_n4,cluster018,1000000,1024,256,4,42370854,504287,495713,494689
1,orig,cluster018,1000000,4096,4096,1,32280851,625267,374733,370637
1,j7_n128,cluster018,1000000,4096,32,128,29039932,627333,372667,368571
1,j7_n64,cluster018,1000000,4096,64,64,30328077,627648,372352,368256
1,j7_n32,cluster018,1000000,4096,128,32,33535554,627574,372426,368330
1,j7_n16,cluster018,1000000,4096,256,16,39236438,627041,372959,368863
1,orig,cluster018,1000000,16384,16384,1,29630773,737810,262190,245806
1,j7_n512,cluster018,1000000,16384,32,512,30360518,736524,263476,247092
1,j7_n256,cluster018,1000000,16384,64,256,30796885,737376,262624,246240
1,j7_n128,cluster018,1000000,16384,128,128,34416722,738025,261975,245591
1,j7_n64,cluster018,1000000,16384,256,64,39725357,738193,261807,245423
1,orig,cluster018,1000000,65536,65536,1,24089036,820608,179392,113856
1,j7_n2048,cluster018,1000000,65536,32,2048,27642435,820448,179552,114016
1,j7_n1024,cluster018,1000000,65536,64,1024,32319149,820672,179328,113792
1,j7_n512,cluster018,1000000,65536,128,512,34920392,820846,179154,113618
1,j7_n256,cluster018,1000000,65536,256,256,45915759,820783,179217,113681
1,orig,cluster019,1000000,1024,1024,1,50756770,240886,759114,758090
1,j7_n32,cluster019,1000000,1024,32,32,32632755,304116,695884,694860
1,j7_n16,cluster019,1000000,1024,64,16,34879701,300278,699722,698698
1,j7_n8,cluster019,1000000,1024,128,8,38231789,293655,706345,705321
1,j7_n4,cluster019,1000000,1024,256,4,50689018,282406,717594,716570
1,orig,cluster019,1000000,4096,4096,1,46546376,296407,703593,699497
1,j7_n128,cluster019,1000000,4096,32,128,32778753,316413,683587,679491
1,j7_n64,cluster019,1000000,4096,64,64,33339320,316021,683979,679883
