trial,variant,cluster,len,capacity,per_shard,shards,elapsed_ns,hits,misses,evictions
5,j7_n64,cluster018,1000000,1024,16,64,28929181,511234,488766,487742
5,j8_n64,cluster018,1000000,1024,16,64,40231566,511234,488766,487742
5,j7_n32,cluster018,1000000,1024,32,32,29731007,510136,489864,488840
5,j8_n32,cluster018,1000000,1024,32,32,31012600,510136,489864,488840
5,j7_n16,cluster018,1000000,1024,64,16,29931610,508369,491631,490607
5,j8_n16,cluster018,1000000,1024,64,16,36241797,508369,491631,490607
5,orig,cluster018,1000000,4096,4096,1,31776615,625267,374733,370637
5,j7_n256,cluster018,1000000,4096,16,256,29870842,625673,374327,370231
5,j8_n256,cluster018,1000000,4096,16,256,30015127,625673,374327,370231
5,j7_n128,cluster018,1000000,4096,32,128,30859510,627333,372667,368571
5,j8_n128,cluster018,1000000,4096,32,128,31961006,627333,372667,368571
5,j7_n64,cluster018,1000000,4096,64,64,30957888,627648,372352,368256
5,j8_n64,cluster018,1000000,4096,64,64,39349204,627648,372352,368256
5,orig,cluster018,1000000,16384,16384,1,28900418,737810,262190,245806
5,j7_n1024,cluster018,1000000,16384,16,1024,29701183,733969,266031,249647
5,j8_n1024,cluster018,1000000,16384,16,1024,27699553,733969,266031,249647
5,j7_n512,cluster018,1000000,16384,32,512,28960823,736524,263476,247092
5,j8_n512,cluster018,1000000,16384,32,512,32065079,736524,263476,247092
5,j7_n256,cluster018,1000000,16384,64,256,32144302,737376,262624,246240
5,j8_n256,cluster018,1000000,16384,64,256,32800246,737376,262624,246240
