variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,zipf,read-only,0.7,100000,1,64,1000000,51800861,19.3047,19.3047,0.0729,50.22,81.38,0.0000
c8,0,zipf,read-only,0.7,100000,2,64,2000000,60183710,33.2316,16.6158,0.0713,56.07,137.01,0.0016
c8,0,zipf,read-only,0.7,100000,4,64,4000000,67239277,59.4890,14.8723,0.0716,63.02,141.95,0.0080
c8,0,zipf,read-only,0.7,100000,8,64,8000000,105264257,75.9992,9.4999,0.0725,81.95,207.21,0.0611
c8,0,zipf,read-only,0.7,100000,16,64,16000000,166003641,96.3834,6.0240,0.0745,137.88,321.86,0.0652
c8,0,zipf,read-only,1,100000,1,64,1000000,55905366,17.8874,17.8874,0.3706,54.84,83.19,0.0000
c8,0,zipf,read-only,1,100000,2,64,2000000,79337436,25.2088,12.6044,0.3845,76.98,134.67,0.0013
c8,0,zipf,read-only,1,100000,4,64,4000000,120730551,33.1316,8.2829,0.3766,116.00,242.79,0.0039
c8,0,zipf,read-only,1,100000,8,64,8000000,215083826,37.1948,4.6494,0.3784,201.60,392.61,0.0119
c8,0,zipf,read-only,1,100000,16,64,16000000,361790394,44.2245,2.7640,0.3769,301.23,704.84,0.0579
c8,0,zipf,read-only,1.2,100000,1,64,1000000,56688427,17.6403,17.6403,0.6607,55.02,90.51,0.0000
c8,0,zipf,read-only,1.2,100000,2,64,2000000,89631208,22.3137,11.1568,0.6606,88.18,124.94,0.0036
c8,0,zipf,read-only,1.2,100000,4,64,4000000,144446930,27.6918,6.9230,0.6515,139.61,256.25,0.0107
c8,0,zipf,read-only,1.2,100000,8,64,8000000,275115184,29.0787,3.6348,0.6598,262.40,431.49,0.0058
c8,0,zipf,read-only,1.2,100000,16,64,16000000,447349134,35.7662,2.2354,0.6595,340.00,1630.38,0.0691
c8,0,adversarial-hot,read-only,1,1,1,64,1000000,15500507,64.5140,64.5140,1.0000,15.09,23.87,0.0000
c8,0,adversarial-hot,read-only,1,1,2,64,2000000,64622054,30.9492,15.4746,1.0000,65.59,120.55,0.0059
c8,0,adversarial-hot,read-only,1,1,4,64,4000000,149611655,26.7359,6.6840,1.0000,138.19,268.81,0.0503
c8,0,adversarial-hot,read-only,1,1,8,64,8000000,265033528,30.1849,3.7731,1.0000,209.86,829.52,0.0581
c8,0,adversarial-hot,read-only,1,1,16,64,16000000,532766297,30.0319,1.8770,1.0000,434.97,1662.97,0.0820
c8,0,uniform,read-only,1,100000,1,64,1000000,14626616,68.3685,68.3685,0.0006,14.20,24.97,0.0000
c8,0,uniform,read-only,1,100000,2,64,2000000,31192348,64.1183,32.0591,0.0006,22.62,63.08,0.1275
c8,0,uniform,read-only,1,100000,4,64,4000000,43624717,91.6911,22.9228,0.0006,22.75,83.47,0.4317
c8,0,uniform,read-only,1,100000,8,64,8000000,43861663,182.3916,22.7990,0.0006,18.01,68.09,0.3531
c8,0,uniform,read-only,1,100000,16,64,16000000,46626264,343.1542,21.4471,0.0006,25.29,87.18,0.2107
c8,0,zipf,read-heavy,0.7,100000,1,64,1000000,58137677,17.2005,17.2005,0.0701,56.59,91.50,0.0000
c8,0,zipf,read-heavy,0.7,100000,2,64,2000000,79154524,25.2670,12.6335,0.0729,73.70,183.69,0.0027
c8,0,zipf,read-heavy,0.7,100000,4,64,4000000,100892615,39.6461,9.9115,0.0728,97.21,174.01,0.0067
c8,0,zipf,read-heavy,0.7,100000,8,64,8000000,234601344,34.1004,4.2626,0.0735,206.39,517.51,0.0093
c8,0,zipf,read-heavy,0.7,100000,16,64,16000000,735480613,21.7545,1.3597,0.0720,728.99,1264.08,0.0109
c8,0,zipf,read-heavy,1,100000,1,64,1000000,61201344,16.3395,16.3395,0.3582,59.75,84.82,0.0000
c8,0,zipf,read-heavy,1,100000,2,64,2000000,88613032,22.5700,11.2850,0.3570,87.30,123.71,0.0030
c8,0,zipf,read-heavy,1,100000,4,64,4000000,142089842,28.1512,7.0378,0.3552,137.13,240.22,0.0151
c8,0,zipf,read-heavy,1,100000,8,64,8000000,288120897,27.7661,3.4708,0.3547,260.71,500.99,0.0111
c8,0,zipf,read-heavy,1,100000,16,64,16000000,759707076,21.0607,1.3163,0.3552,743.94,1212.70,0.0055
c8,0,zipf,read-heavy,1.2,100000,1,64,1000000,61167852,16.3485,16.3485,0.6225,59.23,94.62,0.0000
c8,0,zipf,read-heavy,1.2,100000,2,64,2000000,100544705,19.8916,9.9458,0.6225,97.90,142.82,0.0079
c8,0,zipf,read-heavy,1.2,100000,4,64,4000000,176847958,22.6183,5.6546,0.6201,170.57,267.36,0.0149
c8,0,zipf,read-heavy,1.2,100000,8,64,8000000,323409952,24.7364,3.0921,0.6171,299.48,521.29,0.0129
c8,0,zipf,read-heavy,1.2,100000,16,64,16000000,732422219,21.8453,1.3653,0.6145,712.95,1202.11,0.0048
c8,0,adversarial-hot,read-heavy,1,1,1,64,1000000,15599798,64.1034,64.1034,0.9500,15.35,22.53,0.0000
c8,0,adversarial-hot,read-heavy,1,1,2,64,2000000,79997877,25.0007,12.5003,0.9286,77.61,119.82,0.0132
c8,0,adversarial-hot,read-heavy,1,1,4,64,4000000,167421840,23.8917,5.9729,0.8321,160.04,271.20,0.0139
c8,0,adversarial-hot,read-heavy,1,1,8,64,8000000,366716764,21.8152,2.7269,0.7374,341.75,666.98,0.0124
c8,0,adversarial-hot,read-heavy,1,1,16,64,16000000,837374744,19.1073,1.1942,0.7653,822.55,1354.92,0.0049
c8,0,uniform,read-heavy,1,100000,1,64,1000000,17529289,57.0474,57.0474,0.0000,17.29,24.28,0.0000
c8,0,uniform,read-heavy,1,100000,2,64,2000000,47510706,42.0958,21.0479,0.0000,42.04,90.34,0.0659
c8,0,uniform,read-heavy,1,100000,4,64,4000000,91371110,43.7775,10.9444,0.0000,72.75,188.11,0.1422
c8,0,uniform,read-heavy,1,100000,8,64,8000000,279274188,28.6457,3.5807,0.0000,254.50,638.35,0.0151
c8,0,uniform,read-heavy,1,100000,16,64,16000000,727952057,21.9795,1.3737,0.0000,707.06,1311.24,0.0085
c8,0,zipf,gim,0.7,100000,1,64,1000000,133096233,7.5134,7.5134,0.0748,127.56,239.60,0.0000
c8,0,zipf,gim,0.7,100000,2,64,2000000,308385714,6.4854,3.2427,0.0768,297.41,465.01,0.0200
c8,0,zipf,gim,0.7,100000,4,64,4000000,1014602240,3.9424,0.9856,0.0758,998.90,1500.55,0.0049
c8,0,zipf,gim,0.7,100000,8,64,8000000,3553474026,2.2513,0.2814,0.0759,3543.37,4890.14,0.0059
c8,0,zipf,gim,0.7,100000,16,64,16000000,10120482035,1.5810,0.0988,0.0758,10114.41,12575.92,0.0027
c8,0,zipf,gim,1,100000,1,64,1000000,108870871,9.1852,9.1852,0.3760,105.15,200.92,0.0000
c8,0,zipf,gim,1,100000,2,64,2000000,253218896,7.8983,3.9492,0.3745,246.75,405.21,0.0002
c8,0,zipf,gim,1,100000,4,64,4000000,821944505,4.8665,1.2166,0.3748,816.83,1273.90,0.0060
c8,0,zipf,gim,1,100000,8,64,8000000,2579883284,3.1009,0.3876,0.3755,2552.94,3750.75,0.0021
c8,0,zipf,gim,1,100000,16,64,16000000,7087961779,2.2573,0.1411,0.3750,7058.14,9328.38,0.0035
c8,0,zipf,gim,1.2,100000,1,64,1000000,82628425,12.1024,12.1024,0.6562,79.51,170.44,0.0000
c8,0,zipf,gim,1.2,100000,2,64,2000000,186641102,10.7158,5.3579,0.6568,179.92,322.11,0.0001
c8,0,zipf,gim,1.2,100000,4,64,4000000,460578094,8.6847,2.1712,0.6565,453.80,686.14,0.0041
c8,0,zipf,gim,1.2,100000,8,64,8000000,1586199192,5.0435,0.6304,0.6566,1573.97,2433.44,0.0061
