variant,op_mix,workload_label,threads,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,cv
c11s,gim,adversarial-hot,1,85.322,85.322,1.0,11.43,21.31,0.0
c11s,gim,adversarial-hot,2,172.2906,86.1453,1.0,11.43,16.94,0.0006
c11s,gim,adversarial-hot,4,339.8602,84.9651,1.0,11.43,17.85,0.0064
c11s,gim,adversarial-hot,8,404.3651,50.5456,1.0,11.44,39.65,0.1935
c11s,gim,adversarial-hot,16,566.386,35.3991,1.0,11.44,48.27,0.2403
c12s,gim,adversarial-hot,1,84.6262,84.6262,1.0,11.46,18.98,0.0
c12s,gim,adversarial-hot,2,170.7835,85.3918,1.0,11.46,18.77,0.0055
c12s,gim,adversarial-hot,4,330.3032,82.5758,1.0,11.48,21.94,0.0173
c12s,gim,adversarial-hot,8,470.9043,58.863,1.0,11.47,38.2,0.1577
c12s,gim,adversarial-hot,16,570.1149,35.6322,1.0,11.5,40.48,0.2516
c8,gim,adversarial-hot,1,65.4684,65.4684,1.0,15.01,23.18,0.0
c8,gim,adversarial-hot,2,29.9951,14.9975,1.0,65.54,118.84,0.0071
c8,gim,adversarial-hot,4,28.6924,7.1731,1.0,133.05,261.5,0.036
c8,gim,adversarial-hot,8,29.4292,3.6786,1.0,241.37,687.95,0.0429
c8,gim,adversarial-hot,16,33.4465,2.0904,1.0,330.51,1634.27,0.159
c11s,gim,uniform,1,10.7423,10.7423,0.0,91.13,155.88,0.0
c11s,gim,uniform,2,6.8839,3.442,0.0,286.13,538.44,0.0196
c11s,gim,uniform,4,4.0661,1.0165,0.0,973.87,1676.33,0.0135
c11s,gim,uniform,8,2.4637,0.308,0.0,3222.13,4804.54,0.005
c11s,gim,uniform,16,1.601,0.1001,0.0,9973.76,12936.21,0.0017
c12s,gim,uniform,1,14.7494,14.7494,0.0,65.83,106.84,0.0
c12s,gim,uniform,2,7.6729,3.8365,0.0,263.92,356.76,0.006
c12s,gim,uniform,4,7.4185,1.8546,0.0,537.37,693.57,0.0087
c12s,gim,uniform,8,8.778,1.0972,0.0,856.21,1217.93,0.0222
c12s,gim,uniform,16,9.6454,0.6028,0.0,1387.34,4101.57,0.0656
c8,gim,uniform,1,12.8889,12.8889,0.0,74.61,125.66,0.0
c8,gim,uniform,2,7.5649,3.7824,0.0,255.44,427.51,0.0375
c8,gim,uniform,4,4.7631,1.1908,0.0,835.62,1360.05,0.0096
c8,gim,uniform,8,2.8187,0.3523,0.0,2823.37,4225.62,0.0042
c8,gim,uniform,16,1.7786,0.1112,0.0,8984.96,11584.12,0.0026
c11s,gim,zipf-0.7,1,7.0755,7.0755,0.0748,138.16,196.27,0.0
c11s,gim,zipf-0.7,2,5.488,2.744,0.0767,356.06,596.26,0.0007
c11s,gim,zipf-0.7,4,3.3648,0.8412,0.0772,1189.31,1778.59,0.0092
c11s,gim,zipf-0.7,8,2.0017,0.2502,0.0756,3981.94,5526.07,0.0078
c11s,gim,zipf-0.7,16,1.4301,0.0894,0.0763,11174.88,13986.08,0.0041
c12s,gim,zipf-0.7,1,8.3682,8.3682,0.0176,114.43,202.91,0.0
c12s,gim,zipf-0.7,2,7.7876,3.8938,0.0175,254.58,385.43,0.0086
c12s,gim,zipf-0.7,4,7.7583,1.9396,0.0172,514.92,724.53,0.0054
c12s,gim,zipf-0.7,8,8.6258,1.0782,0.0168,903.29,1284.74,0.0053
c12s,gim,zipf-0.7,16,9.7625,0.6102,0.0163,1338.44,4092.44,0.0558
c8,gim,zipf-0.7,1,7.5134,7.5134,0.0748,127.56,239.6,0.0
c8,gim,zipf-0.7,2,6.4854,3.2427,0.0768,297.41,465.01,0.02
c8,gim,zipf-0.7,4,3.9424,0.9856,0.0758,998.9,1500.55,0.0049
c8,gim,zipf-0.7,8,2.2513,0.2814,0.0759,3543.37,4890.14,0.0059
c8,gim,zipf-0.7,16,1.581,0.0988,0.0758,10114.41,12575.92,0.0027
c11s,gim,zipf-1.0,1,8.6297,8.6297,0.376,112.64,165.8,0.0
c11s,gim,zipf-1.0,2,6.983,3.4915,0.3756,278.75,462.9,0.0104
c11s,gim,zipf-1.0,4,4.3074,1.0769,0.3753,918.86,1431.21,0.0036
c11s,gim,zipf-1.0,8,2.867,0.3584,0.3754,2764.1,4025.84,0.0029
c11s,gim,zipf-1.0,16,2.0682,0.1293,0.3753,7712.65,9957.16,0.0032
c12s,gim,zipf-1.0,1,9.559,9.559,0.2619,101.95,148.44,0.0
c12s,gim,zipf-1.0,2,8.6215,4.3107,0.2605,229.09,323.38,0.0008
c12s,gim,zipf-1.0,4,9.2598,2.3149,0.2591,426.41,666.63,0.0059
c12s,gim,zipf-1.0,8,9.7675,1.2209,0.2559,797.94,1220.85,0.0115
c12s,gim,zipf-1.0,16,11.4014,0.7126,0.2518,1177.45,3109.62,0.052
c8,gim,zipf-1.0,1,9.1852,9.1852,0.376,105.15,200.92,0.0
c8,gim,zipf-1.0,2,7.8983,3.9492,0.3745,246.75,405.21,0.0002
c8,gim,zipf-1.0,4,4.8665,1.2166,0.3748,816.83,1273.9,0.006
c8,gim,zipf-1.0,8,3.1009,0.3876,0.3755,2552.94,3750.75,0.0021
c8,gim,zipf-1.0,16,2.2573,0.1411,0.375,7058.14,9328.38,0.0035
c11s,gim,zipf-1.2,1,12.0663,12.0663,0.6562,81.62,104.76,0.0
c11s,gim,zipf-1.2,2,10.455,5.2275,0.657,185.02,307.81,0.0012
c11s,gim,zipf-1.2,4,7.1235,1.7809,0.6564,555.9,859.87,0.0063
c11s,gim,zipf-1.2,8,4.7934,0.5992,0.6564,1644.15,2623.52,0.0078
c11s,gim,zipf-1.2,16,3.5268,0.2204,0.6564,4521.76,6273.54,0.003
c12s,gim,zipf-1.2,1,10.9087,10.9087,0.5708,87.4,193.71,0.0
c12s,gim,zipf-1.2,2,11.2848,5.6424,0.5701,173.28,278.0,0.0057
c12s,gim,zipf-1.2,4,13.3068,3.3267,0.5681,293.56,456.81,0.003
c12s,gim,zipf-1.2,8,14.3278,1.791,0.5647,547.86,809.93,0.0119
c12s,gim,zipf-1.2,16,16.1671,1.0104,0.5594,858.89,2352.58,0.0501
c8,gim,zipf-1.2,1,12.1024,12.1024,0.6562,79.51,170.44,0.0
c8,gim,zipf-1.2,2,10.7158,5.3579,0.6568,179.92,322.11,0.0001
c8,gim,zipf-1.2,4,8.6847,2.1712,0.6565,453.8,686.14,0.0041
c8,gim,zipf-1.2,8,5.0435,0.6304,0.6566,1573.97,2433.44,0.0061
c8,gim,zipf-1.2,16,3.8385,0.2399,0.6563,4156.54,5698.38,0.0024
c11s,read-heavy,adversarial-hot,1,80.2006,80.2006,0.95,12.25,18.52,0.0
c11s,read-heavy,adversarial-hot,2,67.3044,33.6522,0.9338,29.21,53.76,0.0049
c11s,read-heavy,adversarial-hot,4,62.5198,15.63,0.8867,61.52,137.05,0.0106
c11s,read-heavy,adversarial-hot,8,44.7599,5.595,0.8442,149.83,517.93,0.0093
c11s,read-heavy,adversarial-hot,16,29.6418,1.8526,0.8695,518.25,1095.72,0.0088
c12s,read-heavy,adversarial-hot,1,80.1269,80.1269,0.95,11.95,23.2,0.0
c12s,read-heavy,adversarial-hot,2,85.6982,42.8491,0.9497,22.75,34.39,0.0049
c12s,read-heavy,adversarial-hot,4,99.962,24.9905,0.95,38.8,75.52,0.0117
c12s,read-heavy,adversarial-hot,8,81.8325,10.2291,0.95,84.54,252.08,0.0552
c12s,read-heavy,adversarial-hot,16,84.986,5.3116,0.95,164.21,430.8,0.057
c8,read-heavy,adversarial-hot,1,64.1034,64.1034,0.95,15.35,22.53,0.0
c8,read-heavy,adversarial-hot,2,25.0007,12.5003,0.9286,77.61,119.82,0.0132
c8,read-heavy,adversarial-hot,4,23.8917,5.9729,0.8321,160.04,271.2,0.0139
c8,read-heavy,adversarial-hot,8,21.8152,2.7269,0.7374,341.75,666.98,0.0124
c8,read-heavy,adversarial-hot,16,19.1073,1.1942,0.7653,822.55,1354.92,0.0049
c11s,read-heavy,uniform,1,58.8643,58.8643,0.0,16.83,25.99,0.0
c11s,read-heavy,uniform,2,51.8703,25.9352,0.0,37.69,73.34,0.0015
c11s,read-heavy,uniform,4,38.8424,9.7106,0.0,99.27,221.2,0.0105
c11s,read-heavy,uniform,8,24.7005,3.0876,0.0,297.95,726.25,0.0091
c11s,read-heavy,uniform,16,19.4858,1.2179,0.0,800.28,1438.18,0.006
c12s,read-heavy,uniform,1,65.6332,65.6332,0.0,14.93,22.34,0.0
c12s,read-heavy,uniform,2,70.1777,35.0888,0.0,28.11,40.52,0.0008
c12s,read-heavy,uniform,4,86.2656,21.5664,0.0,44.55,69.33,0.0175
c12s,read-heavy,uniform,8,96.041,12.0051,0.0,78.75,129.1,0.0429
c12s,read-heavy,uniform,16,107.1502,6.6969,0.0,127.82,237.89,0.0647
c8,read-heavy,uniform,1,57.0474,57.0474,0.0,17.29,24.28,0.0
c8,read-heavy,uniform,2,42.0958,21.0479,0.0,42.04,90.34,0.0659
c8,read-heavy,uniform,4,43.7775,10.9444,0.0,72.75,188.11,0.1422
c8,read-heavy,uniform,8,28.6457,3.5807,0.0,254.5,638.35,0.0151
c8,read-heavy,uniform,16,21.9795,1.3737,0.0,707.06,1311.24,0.0085
c11s,read-heavy,zipf-0.7,1,16.9749,16.9749,0.0701,54.84,122.81,0.0
