variant,op_mix,workload_label,threads,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,cv
c10s,gim,adversarial-hot,1,68.0663,68.0663,1.0,14.32,21.17,0.0
c10s,gim,adversarial-hot,2,46.8361,23.418,1.0,40.91,63.5,0.022
c10s,gim,adversarial-hot,4,41.3212,10.3303,1.0,93.81,127.89,0.0428
c10s,gim,adversarial-hot,8,42.3959,5.2995,1.0,148.09,709.37,0.2312
c10s,gim,adversarial-hot,16,51.9872,3.2492,1.0,200.17,1238.11,0.2298
c11s,gim,adversarial-hot,1,101.9809,101.9809,1.0,9.71,11.74,0.0
c11s,gim,adversarial-hot,2,200.3777,100.1889,1.0,9.71,13.8,0.0089
c11s,gim,adversarial-hot,4,358.4247,89.6062,1.0,9.71,28.29,0.0518
c11s,gim,adversarial-hot,8,532.7675,66.5959,1.0,9.71,42.38,0.1568
c11s,gim,adversarial-hot,16,670.9664,41.9354,1.0,9.72,44.98,0.2776
c8,gim,adversarial-hot,1,72.9595,72.9595,1.0,13.46,19.61,0.0
c8,gim,adversarial-hot,2,29.3368,14.6684,1.0,69.01,109.92,0.0009
c8,gim,adversarial-hot,4,28.8959,7.224,1.0,139.0,216.19,0.0121
c8,gim,adversarial-hot,8,27.4121,3.4265,1.0,253.56,717.4,0.0382
c8,gim,adversarial-hot,16,34.6835,2.1677,1.0,325.26,1610.04,0.097
c10s,gim,uniform,1,10.0887,10.0887,0.0,97.26,132.62,0.0
c10s,gim,uniform,2,6.5969,3.2985,0.0,300.53,471.88,0.002
c10s,gim,uniform,4,3.8625,0.9656,0.0,1031.33,1531.05,0.0059
c10s,gim,uniform,8,2.6523,0.3315,0.0,2986.31,4566.54,0.0062
c10s,gim,uniform,16,1.6612,0.1038,0.0,9577.66,12765.14,0.0017
c11s,gim,uniform,1,10.6549,10.6549,0.0,92.68,120.71,0.0
c11s,gim,uniform,2,7.1825,3.5912,0.0,277.12,470.87,0.0173
c11s,gim,uniform,4,4.1151,1.0288,0.0,965.98,1493.6,0.0046
c11s,gim,uniform,8,2.477,0.3096,0.0,3187.64,5010.09,0.0035
c11s,gim,uniform,16,1.6093,0.1006,0.0,9870.18,13462.17,0.0024
c8,gim,uniform,1,13.8545,13.8545,0.0,71.49,84.19,0.0
c8,gim,uniform,2,9.0156,4.5078,0.0,153.9,695.25,0.0985
c8,gim,uniform,4,4.8746,1.2186,0.0,825.38,1237.92,0.0093
c8,gim,uniform,8,2.8947,0.3618,0.0,2745.03,4269.86,0.0051
c8,gim,uniform,16,1.812,0.1133,0.0,8782.16,11897.99,0.0031
c10s,gim,zipf-0.7,1,7.7597,7.7597,0.0748,126.48,197.71,0.0
c10s,gim,zipf-0.7,2,5.4954,2.7477,0.0761,355.81,555.48,0.0037
c10s,gim,zipf-0.7,4,3.3832,0.8458,0.0756,1156.35,2057.74,0.0084
c10s,gim,zipf-0.7,8,1.8826,0.2353,0.0757,4221.45,6085.01,0.0063
c10s,gim,zipf-0.7,16,1.3813,0.0863,0.0769,11573.26,14687.43,0.0032
c11s,gim,zipf-0.7,1,7.6565,7.6565,0.0748,125.99,217.95,0.0
c11s,gim,zipf-0.7,2,5.5907,2.7953,0.0753,351.71,565.03,0.0081
c11s,gim,zipf-0.7,4,3.5753,0.8938,0.0771,1112.15,1631.93,0.007
c11s,gim,zipf-0.7,8,2.1617,0.2702,0.0761,3676.55,5169.68,0.0154
c11s,gim,zipf-0.7,16,1.3602,0.085,0.0764,11744.84,14880.19,0.0042
c8,gim,zipf-0.7,1,7.9703,7.9703,0.0748,123.26,150.18,0.0
c8,gim,zipf-0.7,2,6.2404,3.1202,0.076,314.53,441.71,0.0067
c8,gim,zipf-0.7,4,3.9819,0.9955,0.0761,999.66,1459.62,0.005
c8,gim,zipf-0.7,8,2.2278,0.2785,0.0771,3570.71,5085.58,0.0036
c8,gim,zipf-0.7,16,1.4786,0.0924,0.0768,10774.75,13765.35,0.0016
c10s,gim,zipf-1.0,1,8.6156,8.6156,0.376,112.62,176.43,0.0
c10s,gim,zipf-1.0,2,6.917,3.4585,0.3739,281.5,471.07,0.0013
c10s,gim,zipf-1.0,4,4.2527,1.0632,0.3738,928.23,1445.45,0.0047
c10s,gim,zipf-1.0,8,2.662,0.3328,0.3753,2971.71,4454.82,0.0107
c10s,gim,zipf-1.0,16,2.1232,0.1327,0.3755,7499.34,10113.77,0.0033
c11s,gim,zipf-1.0,1,8.3152,8.3152,0.376,117.18,174.05,0.0
c11s,gim,zipf-1.0,2,6.6903,3.3451,0.3745,293.83,401.78,0.0139
c11s,gim,zipf-1.0,4,4.0685,1.0171,0.3742,980.21,1473.95,0.0078
c11s,gim,zipf-1.0,8,2.8803,0.36,0.3745,2771.26,3968.21,0.0068
c11s,gim,zipf-1.0,16,2.0055,0.1253,0.3749,7943.47,10594.17,0.0045
c8,gim,zipf-1.0,1,9.5737,9.5737,0.376,102.41,137.12,0.0
c8,gim,zipf-1.0,2,7.6002,3.8001,0.3744,256.56,432.93,0.0067
c8,gim,zipf-1.0,4,5.1732,1.2933,0.3754,767.65,1092.15,0.0059
c8,gim,zipf-1.0,8,3.18,0.3975,0.3751,2515.91,3677.99,0.0046
c8,gim,zipf-1.0,16,2.4125,0.1508,0.3755,6589.37,8549.56,0.0013
c10s,gim,zipf-1.2,1,12.5287,12.5287,0.6562,78.08,108.0,0.0
c10s,gim,zipf-1.2,2,10.9094,5.4547,0.6563,179.48,268.16,0.0048
c10s,gim,zipf-1.2,4,7.7196,1.9299,0.6561,513.87,785.32,0.0103
c10s,gim,zipf-1.2,8,5.1296,0.6412,0.6563,1533.98,2448.18,0.0124
c10s,gim,zipf-1.2,16,3.5218,0.2201,0.656,4508.97,6302.5,0.0055
c11s,gim,zipf-1.2,1,12.2117,12.2117,0.6562,80.46,111.54,0.0
c11s,gim,zipf-1.2,2,10.7315,5.3657,0.6559,181.89,296.64,0.0046
c11s,gim,zipf-1.2,4,7.1687,1.7922,0.6564,554.55,830.75,0.01
c11s,gim,zipf-1.2,8,4.6873,0.5859,0.6559,1678.93,2623.6,0.0073
c11s,gim,zipf-1.2,16,3.4749,0.2172,0.6564,4579.8,6604.35,0.0042
c8,gim,zipf-1.2,1,12.1084,12.1084,0.6562,76.07,230.81,0.0
c8,gim,zipf-1.2,2,10.597,5.2985,0.6563,183.85,304.54,0.0019
c8,gim,zipf-1.2,4,8.2632,2.0658,0.6559,477.93,815.85,0.0113
c8,gim,zipf-1.2,8,5.0392,0.6299,0.6563,1565.77,2524.93,0.0066
c8,gim,zipf-1.2,16,3.5392,0.2212,0.6566,4482.29,6252.58,0.0017
c10s,read-heavy,adversarial-hot,1,77.2536,77.2536,0.95,12.71,18.39,0.0
c10s,read-heavy,adversarial-hot,2,36.9522,18.4761,0.9365,56.87,109.58,0.0051
c10s,read-heavy,adversarial-hot,4,34.1652,8.5413,0.873,116.24,169.27,0.0045
c10s,read-heavy,adversarial-hot,8,34.9321,4.3665,0.8301,210.66,439.3,0.0031
c10s,read-heavy,adversarial-hot,16,27.4847,1.7178,0.8596,556.89,1249.01,0.0143
c11s,read-heavy,adversarial-hot,1,95.1239,95.1239,0.95,10.3,17.3,0.0
c11s,read-heavy,adversarial-hot,2,71.9549,35.9775,0.9327,27.71,37.1,0.0004
c11s,read-heavy,adversarial-hot,4,61.6918,15.4229,0.8778,63.24,115.93,0.0035
c11s,read-heavy,adversarial-hot,8,42.9562,5.3695,0.851,154.78,539.4,0.0179
c11s,read-heavy,adversarial-hot,16,28.8756,1.8047,0.8676,530.79,1149.15,0.0087
c8,read-heavy,adversarial-hot,1,67.2867,67.2867,0.95,14.64,21.35,0.0
c8,read-heavy,adversarial-hot,2,24.2486,12.1243,0.9123,86.67,117.01,0.0092
c8,read-heavy,adversarial-hot,4,22.3845,5.5961,0.8019,177.9,272.23,0.0137
c8,read-heavy,adversarial-hot,8,20.0873,2.5109,0.7326,364.63,762.27,0.0115
c8,read-heavy,adversarial-hot,16,18.0003,1.125,0.7573,871.92,1487.03,0.0046
c10s,read-heavy,uniform,1,67.5329,67.5329,0.0,14.62,21.47,0.0
c10s,read-heavy,uniform,2,55.56,27.78,0.0,34.75,71.71,0.0069
c10s,read-heavy,uniform,4,37.3422,9.3356,0.0,103.56,213.07,0.0075
c10s,read-heavy,uniform,8,26.6125,3.3266,0.0,271.86,726.06,0.0209
c10s,read-heavy,uniform,16,21.2003,1.325,0.0,738.54,1314.82,0.0046
c11s,read-heavy,uniform,1,62.4808,62.4808,0.0,15.83,23.78,0.0
c11s,read-heavy,uniform,2,51.8295,25.9148,0.0,37.42,78.03,0.0011
c11s,read-heavy,uniform,4,34.7324,8.6831,0.0,111.38,236.64,0.0089
c11s,read-heavy,uniform,8,25.0478,3.131,0.0,288.64,760.3,0.0112
c11s,read-heavy,uniform,16,21.4172,1.3386,0.0,726.21,1336.85,0.0054
c8,read-heavy,uniform,1,59.7702,59.7702,0.0,16.39,24.5,0.0
c8,read-heavy,uniform,2,39.2629,19.6315,0.0,43.22,137.51,0.067
c8,read-heavy,uniform,4,38.7444,9.6861,0.0,83.45,196.44,0.1274
c8,read-heavy,uniform,8,27.2661,3.4083,0.0,263.32,712.18,0.0192
c8,read-heavy,uniform,16,20.3451,1.2716,0.0,768.84,1395.59,0.0042
c10s,read-heavy,zipf-0.7,1,17.3582,17.3582,0.0701,55.05,94.6,0.0
c10s,read-heavy,zipf-0.7,2,27.2342,13.6171,0.0726,68.86,154.48,0.0071
c10s,read-heavy,zipf-0.7,4,35.5516,8.8879,0.0717,100.41,240.17,0.0064
c10s,read-heavy,zipf-0.7,8,23.1083,2.8885,0.0723,320.76,753.78,0.009
c10s,read-heavy,zipf-0.7,16,17.444,1.0903,0.0722,911.3,1535.31,0.009
c11s,read-heavy,zipf-0.7,1,17.0945,17.0945,0.0701,57.05,84.8,0.0
c11s,read-heavy,zipf-0.7,2,26.1769,13.0885,0.0716,72.94,142.16,0.0063
c11s,read-heavy,zipf-0.7,4,32.6837,8.1709,0.0737,109.28,289.44,0.0108
c11s,read-heavy,zipf-0.7,8,23.4653,2.9332,0.0729,308.75,765.98,0.0129
c11s,read-heavy,zipf-0.7,16,16.2903,1.0181,0.0734,971.97,1635.09,0.0097
c8,read-heavy,zipf-0.7,1,19.0386,19.0386,0.0701,50.45,93.1,0.0
c8,read-heavy,zipf-0.7,2,27.884,13.942,0.0723,66.1,149.02,0.0221
c8,read-heavy,zipf-0.7,4,37.7026,9.4257,0.073,94.7,260.47,0.0039
c8,read-heavy,zipf-0.7,8,37.006,4.6257,0.0731,183.46,583.78,0.0159
c8,read-heavy,zipf-0.7,16,24.3534,1.5221,0.0733,640.21,1280.66,0.0087
c10s,read-heavy,zipf-1.0,1,17.5714,17.5714,0.3582,55.73,74.31,0.0
c10s,read-heavy,zipf-1.0,2,26.9063,13.4532,0.3571,71.87,117.83,0.0047
c10s,read-heavy,zipf-1.0,4,31.739,7.9348,0.355,113.81,258.45,0.0133
c10s,read-heavy,zipf-1.0,8,24.5839,3.073,0.3546,298.22,653.1,0.0097
c10s,read-heavy,zipf-1.0,16,19.0294,1.1893,0.3541,828.46,1539.0,0.0095
c11s,read-heavy,zipf-1.0,1,17.38,17.38,0.3582,55.45,98.88,0.0
c11s,read-heavy,zipf-1.0,2,28.0132,14.0066,0.3574,69.57,111.34,0.0006
c11s,read-heavy,zipf-1.0,4,36.1115,9.0279,0.3551,99.83,215.78,0.0106
c11s,read-heavy,zipf-1.0,8,26.3517,3.294,0.3544,278.95,625.21,0.0085
c11s,read-heavy,zipf-1.0,16,17.5246,1.0953,0.3547,903.66,1497.31,0.0068
c8,read-heavy,zipf-1.0,1,16.9004,16.9004,0.3582,57.56,81.74,0.0
c8,read-heavy,zipf-1.0,2,21.8433,10.9217,0.3575,88.4,164.1,0.0027
c8,read-heavy,zipf-1.0,4,25.5724,6.3931,0.356,148.91,294.9,0.0052
c8,read-heavy,zipf-1.0,8,26.6518,3.3315,0.3555,269.96,552.95,0.0052
c8,read-heavy,zipf-1.0,16,21.4145,1.3384,0.3552,731.16,1277.0,0.008
c10s,read-heavy,zipf-1.2,1,18.4712,18.4712,0.6225,53.29,67.46,0.0
c10s,read-heavy,zipf-1.2,2,27.5716,13.7858,0.6226,69.5,128.32,0.003
c10s,read-heavy,zipf-1.2,4,32.3569,8.0892,0.6204,110.29,325.08,0.0078
c10s,read-heavy,zipf-1.2,8,25.6801,3.21,0.6175,293.78,573.81,0.0037
