variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c8,0,zipf,read-only,0.7,100000,1,64,1000000,49554137,20.1799,20.1799,0.0729,45.84,142.81,0.0000
c8,0,zipf,read-only,0.7,100000,2,64,2000000,55883455,35.7888,17.8944,0.0668,49.86,168.95,0.0300
c8,0,zipf,read-only,0.7,100000,4,64,4000000,66272574,60.3568,15.0892,0.0736,59.76,123.12,0.0270
c8,0,zipf,read-only,0.7,100000,8,64,8000000,93342808,85.7056,10.7132,0.0725,83.10,177.14,0.0409
c8,0,zipf,read-only,0.7,100000,16,64,16000000,161891575,98.8316,6.1770,0.0745,130.43,266.41,0.0656
c8,0,zipf,read-only,1,100000,1,64,1000000,51571960,19.3904,19.3904,0.3706,49.62,94.46,0.0000
c8,0,zipf,read-only,1,100000,2,64,2000000,72133724,27.7263,13.8631,0.3791,70.68,100.88,0.0044
c8,0,zipf,read-only,1,100000,4,64,4000000,114629480,34.8950,8.7238,0.3766,111.35,227.56,0.0119
c8,0,zipf,read-only,1,100000,8,64,8000000,188869640,42.3573,5.2947,0.3784,182.74,311.97,0.0144
c8,0,zipf,read-only,1,100000,16,64,16000000,321233253,49.8080,3.1130,0.3769,267.29,754.90,0.0490
c8,0,zipf,read-only,1.2,100000,1,64,1000000,52673677,18.9848,18.9848,0.6607,50.58,85.36,0.0000
c8,0,zipf,read-only,1.2,100000,2,64,2000000,87081554,22.9670,11.4835,0.6609,81.85,149.37,0.0233
c8,0,zipf,read-only,1.2,100000,4,64,4000000,144005560,27.7767,6.9442,0.6515,140.72,203.73,0.0132
c8,0,zipf,read-only,1.2,100000,8,64,8000000,266304145,30.0408,3.7551,0.6598,255.18,461.12,0.0161
c8,0,zipf,read-only,1.2,100000,16,64,16000000,440476737,36.3243,2.2703,0.6595,322.26,1160.94,0.1034
c8,0,adversarial-hot,read-only,1,1,1,64,1000000,12477173,80.1464,80.1464,1.0000,12.32,17.69,0.0000
c8,0,adversarial-hot,read-only,1,1,2,64,2000000,48027023,41.6432,20.8216,1.0000,50.03,110.00,0.0277
c8,0,adversarial-hot,read-only,1,1,4,64,4000000,126244967,31.6844,7.9211,1.0000,126.22,193.32,0.0340
c8,0,adversarial-hot,read-only,1,1,8,64,8000000,252258319,31.7135,3.9642,1.0000,229.71,624.42,0.0365
c8,0,adversarial-hot,read-only,1,1,16,64,16000000,454529980,35.2012,2.2001,1.0000,284.06,2277.53,0.0935
c8,0,uniform,read-only,1,100000,1,64,1000000,11962977,83.5912,83.5912,0.0006,11.55,22.55,0.0000
