variant,trial,workload,op_mix,skew,keys,threads,cap,ops,total_elapsed_ns,aggregate_mops,mops_min_per_thread,hit_ratio,p50_chunk_ns,p99_chunk_ns,thread_throughput_cv
c11s,0,zipf,read-only,0.7,100000,1,64,1000000,55108675,18.1460,18.1460,0.0729,52.84,88.32,0.0000
c11s,0,zipf,read-only,0.7,100000,2,64,2000000,52961411,37.7633,18.8817,0.0692,50.26,72.63,0.0201
c11s,0,zipf,read-only,0.7,100000,4,64,4000000,56040022,71.3776,17.8444,0.0766,52.68,113.21,0.0098
c11s,0,zipf,read-only,0.7,100000,8,64,8000000,80866060,98.9290,12.3661,0.0725,56.43,163.69,0.1277
c11s,0,zipf,read-only,0.7,100000,16,64,16000000,132468575,120.7834,7.5490,0.0745,94.37,322.59,0.1012
c11s,0,zipf,read-only,1,100000,1,64,1000000,56848386,17.5906,17.5906,0.3706,55.25,82.34,0.0000
c11s,0,zipf,read-only,1,100000,2,64,2000000,57840219,34.5780,17.2890,0.3729,55.53,98.32,0.0026
c11s,0,zipf,read-only,1,100000,4,64,4000000,60616581,65.9885,16.4971,0.3766,57.07,87.24,0.0163
c11s,0,zipf,read-only,1,100000,8,64,8000000,78524473,101.8791,12.7349,0.3784,53.81,188.41,0.0864
c11s,0,zipf,read-only,1,100000,16,64,16000000,115075581,139.0391,8.6899,0.3769,78.77,157.97,0.1292
c11s,0,zipf,read-only,1.2,100000,1,64,1000000,59645086,16.7658,16.7658,0.6607,56.68,116.62,0.0000
c11s,0,zipf,read-only,1.2,100000,2,64,2000000,58099945,34.4234,17.2117,0.6604,56.31,82.22,0.0059
c11s,0,zipf,read-only,1.2,100000,4,64,4000000,58116195,68.8276,17.2069,0.6515,55.38,87.68,0.0165
c11s,0,zipf,read-only,1.2,100000,8,64,8000000,76655526,104.3630,13.0454,0.6598,56.37,136.64,0.0882
c11s,0,zipf,read-only,1.2,100000,16,64,16000000,115729638,138.2533,8.6408,0.6595,74.95,157.56,0.1259
c11s,0,adversarial-hot,read-only,1,1,1,64,1000000,12085094,82.7466,82.7466,1.0000,11.91,18.42,0.0000
c11s,0,adversarial-hot,read-only,1,1,2,64,2000000,12106800,165.1964,82.5982,1.0000,11.88,17.34,0.0003
